lsoa11,sex,year,an_pop,age_group,age_cat,age_group2,an_pop2
E01006515,2,2018,24,"",85,"",24
E01006518,2,2018,42,"[0,10)",0,"[0,15)",42
E01006518,2,2018,55,"[0,10)",5,"[0,15)",55
E01006518,2,2018,39,"[10,15)",10,"[0,15)",39
E01006518,2,2018,33,"[15,20)",15,"[15,25]",33
E01006518,2,2018,35,"[20,25]",20,"[15,25]",35
E01006518,2,2018,70,"[20,25]",25,"[15,25]",70
E01006518,2,2018,40,"",30,"",40
E01006518,2,2018,50,"",35,"",50
E01006518,2,2018,48,"",40,"",48
E01006518,2,2018,52,"",45,"",52
E01006518,2,2018,88,"",50,"",88
E01006518,2,2018,57,"",55,"",57
E01006518,2,2018,51,"",60,"",51
E01006518,2,2018,51,"",65,"",51
E01006518,2,2018,42,"",70,"",42
E01006518,2,2018,35,"",75,"",35
E01006518,2,2018,32,"",80,"",32
E01006518,2,2018,51,"",85,"",51
E01006519,2,2018,34,"[0,10)",0,"[0,15)",34
E01006519,2,2018,37,"[0,10)",5,"[0,15)",37
E01006519,2,2018,27,"[10,15)",10,"[0,15)",27
E01006519,2,2018,36,"[15,20)",15,"[15,25]",36
E01006519,2,2018,12,"[20,25]",20,"[15,25]",12
E01006519,2,2018,23,"[20,25]",25,"[15,25]",23
E01006519,2,2018,29,"",30,"",29
E01006519,2,2018,49,"",35,"",49
E01006519,2,2018,38,"",40,"",38
E01006519,2,2018,52,"",45,"",52
E01006519,2,2018,67,"",50,"",67
E01006519,2,2018,53,"",55,"",53
E01006519,2,2018,57,"",60,"",57
E01006519,2,2018,46,"",65,"",46
E01006519,2,2018,25,"",70,"",25
E01006519,2,2018,26,"",75,"",26
E01006519,2,2018,22,"",80,"",22
E01006519,2,2018,14,"",85,"",14
E01006520,2,2018,18,"[0,10)",0,"[0,15)",18
E01006520,2,2018,16,"[0,10)",5,"[0,15)",16
E01006520,2,2018,8,"[10,15)",10,"[0,15)",8
E01006520,2,2018,8,"[15,20)",15,"[15,25]",8
E01006520,2,2018,69,"[20,25]",20,"[15,25]",69
E01006520,2,2018,137,"[20,25]",25,"[15,25]",137
E01006520,2,2018,120,"",30,"",120
E01006520,2,2018,61,"",35,"",61
E01006520,2,2018,40,"",40,"",40
E01006520,2,2018,48,"",45,"",48
E01006520,2,2018,41,"",50,"",41
E01006520,2,2018,33,"",55,"",33
E01006520,2,2018,22,"",60,"",22
E01006520,2,2018,38,"",65,"",38
E01006520,2,2018,14,"",70,"",14
E01006520,2,2018,15,"",75,"",15
E01006520,2,2018,15,"",80,"",15
E01006520,2,2018,36,"",85,"",36
E01006521,2,2018,29,"[0,10)",0,"[0,15)",29
E01006521,2,2018,35,"[0,10)",5,"[0,15)",35
E01006521,2,2018,21,"[10,15)",10,"[0,15)",21
E01006521,2,2018,31,"[15,20)",15,"[15,25]",31
E01006521,2,2018,39,"[20,25]",20,"[15,25]",39
E01006521,2,2018,61,"[20,25]",25,"[15,25]",61
E01006521,2,2018,58,"",30,"",58
E01006521,2,2018,49,"",35,"",49
E01006521,2,2018,40,"",40,"",40
E01006521,2,2018,53,"",45,"",53
E01006521,2,2018,50,"",50,"",50
E01006521,2,2018,42,"",55,"",42
E01006521,2,2018,30,"",60,"",30
E01006521,2,2018,50,"",65,"",50
E01006521,2,2018,44,"",70,"",44
E01006521,2,2018,38,"",75,"",38
E01006521,2,2018,41,"",80,"",41
E01006521,2,2018,77,"",85,"",77
E01006522,2,2018,26,"[0,10)",0,"[0,15)",26
E01006522,2,2018,21,"[0,10)",5,"[0,15)",21
E01006522,2,2018,11,"[10,15)",10,"[0,15)",11
E01006522,2,2018,9,"[15,20)",15,"[15,25]",9
E01006522,2,2018,62,"[20,25]",20,"[15,25]",62
E01006522,2,2018,175,"[20,25]",25,"[15,25]",175
E01006522,2,2018,107,"",30,"",107
E01006522,2,2018,68,"",35,"",68
E01006522,2,2018,49,"",40,"",49
E01006522,2,2018,46,"",45,"",46
E01006522,2,2018,47,"",50,"",47
E01006522,2,2018,45,"",55,"",45
E01006522,2,2018,34,"",60,"",34
E01006522,2,2018,13,"",65,"",13
E01006522,2,2018,23,"",70,"",23
E01006522,2,2018,31,"",75,"",31
E01006522,2,2018,1,"",80,"",1
E01006522,2,2018,7,"",85,"",7
E01006523,2,2018,45,"[0,10)",0,"[0,15)",45
E01006523,2,2018,21,"[0,10)",5,"[0,15)",21
E01006523,2,2018,16,"[10,15)",10,"[0,15)",16
E01006523,2,2018,30,"[15,20)",15,"[15,25]",30
E01006523,2,2018,45,"[20,25]",20,"[15,25]",45
E01006523,2,2018,123,"[20,25]",25,"[15,25]",123
E01006523,2,2018,75,"",30,"",75
E01006523,2,2018,57,"",35,"",57
E01006523,2,2018,49,"",40,"",49
E01006523,2,2018,43,"",45,"",43
E01006523,2,2018,42,"",50,"",42
E01006523,2,2018,41,"",55,"",41
E01006523,2,2018,34,"",60,"",34
E01006523,2,2018,33,"",65,"",33
E01006523,2,2018,35,"",70,"",35
E01006523,2,2018,9,"",75,"",9
E01006523,2,2018,8,"",80,"",8
E01006523,2,2018,24,"",85,"",24
E01006524,2,2018,22,"[0,10)",0,"[0,15)",22
E01006524,2,2018,18,"[0,10)",5,"[0,15)",18
E01006524,2,2018,36,"[10,15)",10,"[0,15)",36
E01006524,2,2018,268,"[15,20)",15,"[15,25]",268
E01006524,2,2018,88,"[20,25]",20,"[15,25]",88
E01006524,2,2018,68,"[20,25]",25,"[15,25]",68
E01006524,2,2018,36,"",30,"",36
E01006524,2,2018,47,"",35,"",47
E01006524,2,2018,25,"",40,"",25
E01006524,2,2018,34,"",45,"",34
E01006524,2,2018,25,"",50,"",25
E01006524,2,2018,34,"",55,"",34
E01006524,2,2018,34,"",60,"",34
E01006524,2,2018,33,"",65,"",33
E01006524,2,2018,44,"",70,"",44
E01006524,2,2018,47,"",75,"",47
E01006524,2,2018,34,"",80,"",34
E01006524,2,2018,61,"",85,"",61
E01006525,2,2018,28,"[0,10)",0,"[0,15)",28
E01006525,2,2018,38,"[0,10)",5,"[0,15)",38
E01006525,2,2018,33,"[10,15)",10,"[0,15)",33
E01006525,2,2018,18,"[15,20)",15,"[15,25]",18
E01006525,2,2018,19,"[20,25]",20,"[15,25]",19
E01006525,2,2018,39,"[20,25]",25,"[15,25]",39
E01006525,2,2018,39,"",30,"",39
E01006525,2,2018,43,"",35,"",43
E01006525,2,2018,49,"",40,"",49
E01006525,2,2018,42,"",45,"",42
E01006525,2,2018,30,"",50,"",30
E01006525,2,2018,42,"",55,"",42
E01006525,2,2018,46,"",60,"",46
E01006525,2,2018,42,"",65,"",42
E01006525,2,2018,48,"",70,"",48
E01006525,2,2018,23,"",75,"",23
E01006525,2,2018,23,"",80,"",23
E01006525,2,2018,20,"",85,"",20
E01006526,2,2018,41,"[0,10)",0,"[0,15)",41
E01006526,2,2018,42,"[0,10)",5,"[0,15)",42
E01006526,2,2018,21,"[10,15)",10,"[0,15)",21
E01006526,2,2018,33,"[15,20)",15,"[15,25]",33
E01006526,2,2018,11,"[20,25]",20,"[15,25]",11
E01006526,2,2018,79,"[20,25]",25,"[15,25]",79
E01006526,2,2018,48,"",30,"",48
E01006526,2,2018,47,"",35,"",47
E01006526,2,2018,49,"",40,"",49
E01006526,2,2018,60,"",45,"",60
E01006526,2,2018,53,"",50,"",53
E01006526,2,2018,52,"",55,"",52
E01006526,2,2018,40,"",60,"",40
E01006526,2,2018,28,"",65,"",28
E01006526,2,2018,41,"",70,"",41
E01006526,2,2018,31,"",75,"",31
E01006526,2,2018,22,"",80,"",22
E01006526,2,2018,39,"",85,"",39
E01006527,2,2018,53,"[0,10)",0,"[0,15)",53
E01006527,2,2018,15,"[0,10)",5,"[0,15)",15
E01006527,2,2018,36,"[10,15)",10,"[0,15)",36
E01006527,2,2018,43,"[15,20)",15,"[15,25]",43
E01006527,2,2018,28,"[20,25]",20,"[15,25]",28
E01006527,2,2018,62,"[20,25]",25,"[15,25]",62
E01006527,2,2018,35,"",30,"",35
E01006527,2,2018,62,"",35,"",62
E01006527,2,2018,58,"",40,"",58
E01006527,2,2018,45,"",45,"",45
E01006527,2,2018,54,"",50,"",54
E01006527,2,2018,64,"",55,"",64
E01006527,2,2018,42,"",60,"",42
E01006527,2,2018,37,"",65,"",37
E01006527,2,2018,25,"",70,"",25
E01006527,2,2018,53,"",75,"",53
E01006527,2,2018,23,"",80,"",23
E01006527,2,2018,26,"",85,"",26
E01006528,2,2018,46,"[0,10)",0,"[0,15)",46
E01006528,2,2018,39,"[0,10)",5,"[0,15)",39
E01006528,2,2018,35,"[10,15)",10,"[0,15)",35
E01006528,2,2018,28,"[15,20)",15,"[15,25]",28
E01006528,2,2018,48,"[20,25]",20,"[15,25]",48
E01006528,2,2018,67,"[20,25]",25,"[15,25]",67
E01006528,2,2018,55,"",30,"",55
E01006528,2,2018,74,"",35,"",74
E01006528,2,2018,35,"",40,"",35
E01006528,2,2018,45,"",45,"",45
E01006528,2,2018,47,"",50,"",47
E01006528,2,2018,34,"",55,"",34
E01006528,2,2018,35,"",60,"",35
E01006528,2,2018,35,"",65,"",35
E01006528,2,2018,16,"",70,"",16
E01006528,2,2018,12,"",75,"",12
E01006528,2,2018,1,"",80,"",1
E01006528,2,2018,13,"",85,"",13
E01006529,2,2018,38,"[0,10)",0,"[0,15)",38
E01006529,2,2018,50,"[0,10)",5,"[0,15)",50
E01006529,2,2018,30,"[10,15)",10,"[0,15)",30
E01006529,2,2018,25,"[15,20)",15,"[15,25]",25
E01006529,2,2018,29,"[20,25]",20,"[15,25]",29
E01006529,2,2018,56,"[20,25]",25,"[15,25]",56
E01006529,2,2018,36,"",30,"",36
E01006529,2,2018,62,"",35,"",62
E01006529,2,2018,47,"",40,"",47
E01006529,2,2018,53,"",45,"",53
E01006529,2,2018,39,"",50,"",39
E01006529,2,2018,56,"",55,"",56
E01006529,2,2018,39,"",60,"",39
E01006529,2,2018,27,"",65,"",27
E01006529,2,2018,18,"",70,"",18
E01006529,2,2018,22,"",75,"",22
E01006529,2,2018,17,"",80,"",17
E01006529,2,2018,9,"",85,"",9
E01006530,2,2018,43,"[0,10)",0,"[0,15)",43
E01006530,2,2018,32,"[0,10)",5,"[0,15)",32
E01006530,2,2018,35,"[10,15)",10,"[0,15)",35
E01006530,2,2018,20,"[15,20)",15,"[15,25]",20
E01006530,2,2018,25,"[20,25]",20,"[15,25]",25
E01006530,2,2018,32,"[20,25]",25,"[15,25]",32
E01006530,2,2018,43,"",30,"",43
E01006530,2,2018,28,"",35,"",28
E01006530,2,2018,38,"",40,"",38
E01006530,2,2018,35,"",45,"",35
E01006530,2,2018,59,"",50,"",59
E01006530,2,2018,52,"",55,"",52
E01006530,2,2018,60,"",60,"",60
E01006530,2,2018,45,"",65,"",45
E01006530,2,2018,48,"",70,"",48
E01006530,2,2018,28,"",75,"",28
E01006530,2,2018,36,"",80,"",36
E01006530,2,2018,44,"",85,"",44
E01006531,2,2018,47,"[0,10)",0,"[0,15)",47
E01006531,2,2018,35,"[0,10)",5,"[0,15)",35
E01006531,2,2018,25,"[10,15)",10,"[0,15)",25
E01006531,2,2018,15,"[15,20)",15,"[15,25]",15
E01006531,2,2018,29,"[20,25]",20,"[15,25]",29
E01006531,2,2018,37,"[20,25]",25,"[15,25]",37
E01006531,2,2018,40,"",30,"",40
E01006531,2,2018,30,"",35,"",30
E01006531,2,2018,24,"",40,"",24
E01006531,2,2018,44,"",45,"",44
E01006531,2,2018,48,"",50,"",48
E01006531,2,2018,62,"",55,"",62
E01006531,2,2018,44,"",60,"",44
E01006531,2,2018,38,"",65,"",38
E01006531,2,2018,43,"",70,"",43
E01006531,2,2018,60,"",75,"",60
E01006531,2,2018,62,"",80,"",62
E01006531,2,2018,58,"",85,"",58
E01006532,2,2018,36,"[0,10)",0,"[0,15)",36
E01006532,2,2018,26,"[0,10)",5,"[0,15)",26
E01006532,2,2018,29,"[10,15)",10,"[0,15)",29
E01006532,2,2018,26,"[15,20)",15,"[15,25]",26
E01006532,2,2018,22,"[20,25]",20,"[15,25]",22
E01006532,2,2018,24,"[20,25]",25,"[15,25]",24
E01006532,2,2018,29,"",30,"",29
E01006532,2,2018,40,"",35,"",40
E01006532,2,2018,42,"",40,"",42
E01006532,2,2018,44,"",45,"",44
E01006532,2,2018,61,"",50,"",61
E01006532,2,2018,76,"",55,"",76
E01006532,2,2018,70,"",60,"",70
E01006532,2,2018,62,"",65,"",62
E01006532,2,2018,58,"",70,"",58
E01006532,2,2018,28,"",75,"",28
E01006532,2,2018,48,"",80,"",48
E01006532,2,2018,43,"",85,"",43
E01006533,2,2018,39,"[0,10)",0,"[0,15)",39
E01006533,2,2018,27,"[0,10)",5,"[0,15)",27
E01006533,2,2018,15,"[10,15)",10,"[0,15)",15
E01006533,2,2018,31,"[15,20)",15,"[15,25]",31
E01006533,2,2018,13,"[20,25]",20,"[15,25]",13
E01006533,2,2018,25,"[20,25]",25,"[15,25]",25
E01006533,2,2018,32,"",30,"",32
E01006533,2,2018,30,"",35,"",30
E01006533,2,2018,29,"",40,"",29
E01006533,2,2018,49,"",45,"",49
E01006533,2,2018,43,"",50,"",43
E01006533,2,2018,62,"",55,"",62
E01006533,2,2018,49,"",60,"",49
E01006533,2,2018,60,"",65,"",60
E01006533,2,2018,37,"",70,"",37
E01006533,2,2018,25,"",75,"",25
E01006533,2,2018,34,"",80,"",34
E01006533,2,2018,40,"",85,"",40
E01006534,2,2018,45,"[0,10)",0,"[0,15)",45
E01006534,2,2018,49,"[0,10)",5,"[0,15)",49
E01006534,2,2018,52,"[10,15)",10,"[0,15)",52
E01006534,2,2018,51,"[15,20)",15,"[15,25]",51
E01006534,2,2018,34,"[20,25]",20,"[15,25]",34
E01006534,2,2018,43,"[20,25]",25,"[15,25]",43
E01006534,2,2018,49,"",30,"",49
E01006534,2,2018,55,"",35,"",55
E01006534,2,2018,64,"",40,"",64
E01006534,2,2018,55,"",45,"",55
E01006534,2,2018,76,"",50,"",76
E01006534,2,2018,91,"",55,"",91
E01006534,2,2018,60,"",60,"",60
E01006534,2,2018,39,"",65,"",39
E01006534,2,2018,23,"",70,"",23
E01006534,2,2018,23,"",75,"",23
E01006534,2,2018,20,"",80,"",20
E01006534,2,2018,30,"",85,"",30
E01006535,2,2018,35,"[0,10)",0,"[0,15)",35
E01006535,2,2018,40,"[0,10)",5,"[0,15)",40
E01006535,2,2018,28,"[10,15)",10,"[0,15)",28
E01006535,2,2018,25,"[15,20)",15,"[15,25]",25
E01006535,2,2018,36,"[20,25]",20,"[15,25]",36
E01006535,2,2018,50,"[20,25]",25,"[15,25]",50
E01006535,2,2018,53,"",30,"",53
E01006535,2,2018,44,"",35,"",44
E01006535,2,2018,38,"",40,"",38
E01006535,2,2018,62,"",45,"",62
E01006535,2,2018,85,"",50,"",85
E01006535,2,2018,83,"",55,"",83
E01006535,2,2018,46,"",60,"",46
E01006535,2,2018,40,"",65,"",40
E01006535,2,2018,46,"",70,"",46
E01006535,2,2018,34,"",75,"",34
E01006535,2,2018,30,"",80,"",30
E01006535,2,2018,50,"",85,"",50
E01006536,2,2018,40,"[0,10)",0,"[0,15)",40
E01006536,2,2018,54,"[0,10)",5,"[0,15)",54
E01006536,2,2018,48,"[10,15)",10,"[0,15)",48
E01006536,2,2018,40,"[15,20)",15,"[15,25]",40
E01006536,2,2018,46,"[20,25]",20,"[15,25]",46
E01006536,2,2018,57,"[20,25]",25,"[15,25]",57
E01006536,2,2018,64,"",30,"",64
E01006536,2,2018,71,"",35,"",71
E01006536,2,2018,45,"",40,"",45
E01006536,2,2018,63,"",45,"",63
E01006536,2,2018,77,"",50,"",77
E01006536,2,2018,96,"",55,"",96
E01006536,2,2018,48,"",60,"",48
E01006536,2,2018,55,"",65,"",55
E01006536,2,2018,40,"",70,"",40
E01006536,2,2018,38,"",75,"",38
E01006536,2,2018,19,"",80,"",19
E01006536,2,2018,21,"",85,"",21
E01006537,2,2018,109,"[0,10)",0,"[0,15)",109
E01006537,2,2018,93,"[0,10)",5,"[0,15)",93
E01006537,2,2018,62,"[10,15)",10,"[0,15)",62
E01006537,2,2018,43,"[15,20)",15,"[15,25]",43
E01006537,2,2018,89,"[20,25]",20,"[15,25]",89
E01006537,2,2018,133,"[20,25]",25,"[15,25]",133
E01006537,2,2018,169,"",30,"",169
E01006537,2,2018,86,"",35,"",86
E01006537,2,2018,65,"",40,"",65
E01006537,2,2018,63,"",45,"",63
E01006537,2,2018,62,"",50,"",62
E01006537,2,2018,79,"",55,"",79
E01006537,2,2018,59,"",60,"",59
E01006537,2,2018,49,"",65,"",49
E01006537,2,2018,56,"",70,"",56
E01006537,2,2018,29,"",75,"",29
E01006537,2,2018,21,"",80,"",21
E01006537,2,2018,15,"",85,"",15
E01006538,2,2018,42,"[0,10)",0,"[0,15)",42
E01006538,2,2018,33,"[0,10)",5,"[0,15)",33
E01006538,2,2018,24,"[10,15)",10,"[0,15)",24
E01006538,2,2018,27,"[15,20)",15,"[15,25]",27
E01006538,2,2018,27,"[20,25]",20,"[15,25]",27
E01006538,2,2018,42,"[20,25]",25,"[15,25]",42
E01006538,2,2018,47,"",30,"",47
E01006538,2,2018,37,"",35,"",37
E01006538,2,2018,13,"",40,"",13
E01006538,2,2018,38,"",45,"",38
E01006538,2,2018,70,"",50,"",70
E01006538,2,2018,66,"",55,"",66
E01006538,2,2018,36,"",60,"",36
E01006538,2,2018,44,"",65,"",44
E01006538,2,2018,27,"",70,"",27
E01006538,2,2018,24,"",75,"",24
E01006538,2,2018,23,"",80,"",23
E01006538,2,2018,23,"",85,"",23
E01006539,2,2018,25,"[0,10)",0,"[0,15)",25
E01006539,2,2018,34,"[0,10)",5,"[0,15)",34
E01006539,2,2018,22,"[10,15)",10,"[0,15)",22
E01006539,2,2018,31,"[15,20)",15,"[15,25]",31
E01006539,2,2018,25,"[20,25]",20,"[15,25]",25
E01006539,2,2018,26,"[20,25]",25,"[15,25]",26
E01006539,2,2018,21,"",30,"",21
E01006539,2,2018,25,"",35,"",25
E01006539,2,2018,40,"",40,"",40
E01006539,2,2018,38,"",45,"",38
E01006539,2,2018,48,"",50,"",48
E01006539,2,2018,89,"",55,"",89
E01006539,2,2018,62,"",60,"",62
E01006539,2,2018,78,"",65,"",78
E01006539,2,2018,48,"",70,"",48
E01006539,2,2018,38,"",75,"",38
E01006539,2,2018,14,"",80,"",14
E01006539,2,2018,27,"",85,"",27
E01006540,2,2018,60,"[0,10)",0,"[0,15)",60
E01006540,2,2018,80,"[0,10)",5,"[0,15)",80
E01006540,2,2018,48,"[10,15)",10,"[0,15)",48
E01006540,2,2018,49,"[15,20)",15,"[15,25]",49
E01006540,2,2018,76,"[20,25]",20,"[15,25]",76
E01006540,2,2018,124,"[20,25]",25,"[15,25]",124
E01006540,2,2018,79,"",30,"",79
E01006540,2,2018,73,"",35,"",73
E01006540,2,2018,53,"",40,"",53
E01006540,2,2018,69,"",45,"",69
E01006540,2,2018,44,"",50,"",44
E01006540,2,2018,39,"",55,"",39
E01006540,2,2018,23,"",60,"",23
E01006540,2,2018,22,"",65,"",22
E01006540,2,2018,21,"",70,"",21
E01006540,2,2018,16,"",75,"",16
E01006540,2,2018,11,"",80,"",11
E01006540,2,2018,8,"",85,"",8
E01006541,2,2018,40,"[0,10)",0,"[0,15)",40
E01006541,2,2018,36,"[0,10)",5,"[0,15)",36
E01006541,2,2018,33,"[10,15)",10,"[0,15)",33
E01006541,2,2018,35,"[15,20)",15,"[15,25]",35
E01006541,2,2018,49,"[20,25]",20,"[15,25]",49
E01006541,2,2018,63,"[20,25]",25,"[15,25]",63
E01006541,2,2018,64,"",30,"",64
E01006541,2,2018,39,"",35,"",39
E01006541,2,2018,33,"",40,"",33
E01006541,2,2018,62,"",45,"",62
E01006541,2,2018,51,"",50,"",51
E01006541,2,2018,62,"",55,"",62
E01006541,2,2018,40,"",60,"",40
E01006541,2,2018,53,"",65,"",53
E01006541,2,2018,47,"",70,"",47
E01006541,2,2018,18,"",75,"",18
E01006541,2,2018,42,"",80,"",42
E01006541,2,2018,16,"",85,"",16
E01006542,2,2018,52,"[0,10)",0,"[0,15)",52
E01006542,2,2018,50,"[0,10)",5,"[0,15)",50
E01006542,2,2018,35,"[10,15)",10,"[0,15)",35
E01006542,2,2018,51,"[15,20)",15,"[15,25]",51
E01006542,2,2018,57,"[20,25]",20,"[15,25]",57
E01006542,2,2018,54,"[20,25]",25,"[15,25]",54
E01006542,2,2018,42,"",30,"",42
E01006542,2,2018,31,"",35,"",31
E01006542,2,2018,42,"",40,"",42
E01006542,2,2018,49,"",45,"",49
E01006542,2,2018,50,"",50,"",50
E01006542,2,2018,59,"",55,"",59
E01006542,2,2018,29,"",60,"",29
E01006542,2,2018,17,"",65,"",17
E01006542,2,2018,30,"",70,"",30
E01006542,2,2018,14,"",75,"",14
E01006542,2,2018,18,"",80,"",18
E01006542,2,2018,34,"",85,"",34
E01006543,2,2018,36,"[0,10)",0,"[0,15)",36
E01006543,2,2018,33,"[0,10)",5,"[0,15)",33
E01006543,2,2018,31,"[10,15)",10,"[0,15)",31
E01006543,2,2018,22,"[15,20)",15,"[15,25]",22
E01006543,2,2018,21,"[20,25]",20,"[15,25]",21
E01006543,2,2018,36,"[20,25]",25,"[15,25]",36
E01006543,2,2018,46,"",30,"",46
E01006543,2,2018,22,"",35,"",22
E01006543,2,2018,30,"",40,"",30
E01006543,2,2018,26,"",45,"",26
E01006543,2,2018,65,"",50,"",65
E01006543,2,2018,76,"",55,"",76
E01006543,2,2018,42,"",60,"",42
E01006543,2,2018,41,"",65,"",41
E01006543,2,2018,30,"",70,"",30
E01006543,2,2018,31,"",75,"",31
E01006543,2,2018,15,"",80,"",15
E01006543,2,2018,23,"",85,"",23
E01006544,2,2018,63,"[0,10)",0,"[0,15)",63
E01006544,2,2018,53,"[0,10)",5,"[0,15)",53
E01006544,2,2018,56,"[10,15)",10,"[0,15)",56
E01006544,2,2018,55,"[15,20)",15,"[15,25]",55
E01006544,2,2018,53,"[20,25]",20,"[15,25]",53
E01006544,2,2018,73,"[20,25]",25,"[15,25]",73
E01006544,2,2018,71,"",30,"",71
E01006544,2,2018,51,"",35,"",51
E01006544,2,2018,31,"",40,"",31
E01006544,2,2018,62,"",45,"",62
E01006544,2,2018,73,"",50,"",73
E01006544,2,2018,70,"",55,"",70
E01006544,2,2018,36,"",60,"",36
E01006544,2,2018,32,"",65,"",32
E01006544,2,2018,28,"",70,"",28
E01006544,2,2018,35,"",75,"",35
E01006544,2,2018,22,"",80,"",22
E01006544,2,2018,14,"",85,"",14
E01006545,2,2018,56,"[0,10)",0,"[0,15)",56
E01006545,2,2018,62,"[0,10)",5,"[0,15)",62
E01006545,2,2018,38,"[10,15)",10,"[0,15)",38
E01006545,2,2018,45,"[15,20)",15,"[15,25]",45
E01006545,2,2018,52,"[20,25]",20,"[15,25]",52
E01006545,2,2018,74,"[20,25]",25,"[15,25]",74
E01006545,2,2018,63,"",30,"",63
E01006545,2,2018,51,"",35,"",51
E01006545,2,2018,43,"",40,"",43
E01006545,2,2018,44,"",45,"",44
E01006545,2,2018,39,"",50,"",39
E01006545,2,2018,40,"",55,"",40
E01006545,2,2018,50,"",60,"",50
E01006545,2,2018,20,"",65,"",20
E01006545,2,2018,22,"",70,"",22
E01006545,2,2018,31,"",75,"",31
E01006545,2,2018,14,"",80,"",14
E01006545,2,2018,16,"",85,"",16
E01006546,2,2018,41,"[0,10)",0,"[0,15)",41
E01006546,2,2018,34,"[0,10)",5,"[0,15)",34
E01006546,2,2018,34,"[10,15)",10,"[0,15)",34
E01006546,2,2018,26,"[15,20)",15,"[15,25]",26
E01006546,2,2018,53,"[20,25]",20,"[15,25]",53
E01006546,2,2018,72,"[20,25]",25,"[15,25]",72
E01006546,2,2018,62,"",30,"",62
E01006546,2,2018,28,"",35,"",28
E01006546,2,2018,45,"",40,"",45
E01006546,2,2018,43,"",45,"",43
E01006546,2,2018,44,"",50,"",44
E01006546,2,2018,39,"",55,"",39
E01006546,2,2018,36,"",60,"",36
E01006546,2,2018,33,"",65,"",33
E01006546,2,2018,14,"",70,"",14
E01006546,2,2018,13,"",75,"",13
E01006546,2,2018,6,"",80,"",6
E01006546,2,2018,9,"",85,"",9
E01006547,2,2018,58,"[0,10)",0,"[0,15)",58
E01006547,2,2018,66,"[0,10)",5,"[0,15)",66
